Date,CPI
2010-01-01,80.8785833360124
2010-04-01,81.9047985083194
2010-07-01,83.4483971577029
2010-10-01,84.5344748911463
2011-01-01,86.5386666666666
2011-04-01,87.1909681742044
2011-07-01,87.8432696817420
2011-10-01,88.4645092127303
2012-01-01,88.7440670016750
2012-04-01,89.4584924623116
2012-07-01,90.3592897822446
2012-10-01,91.5085829145729
2013-01-01,92.7666666666667
2013-04-01,92.7900000000000
2013-07-01,93.3233333333334
2013-10-01,93.9100000000000
2014-01-01,94.5900000000000
2014-04-01,95.2166666666667
2014-07-01,95.5233333333333
2014-10-01,95.7966666666667
2015-01-01,95.9600000000000
2015-04-01,96.2366666666667
2015-07-01,96.5766666666667
2015-10-01,96.9500000000000
2016-01-01,98.4200000000000
2016-04-01,98.5233333333334
2016-07-01,98.5800000000000
2016-10-01,98.1800000000000
2017-01-01,97.8166666666666
2017-04-01,97.8833333333333
2017-07-01,97.8233333333333
2017-10-01,96.8800000000000
2018-01-01,100.7400000000000
2018-04-01,100.2400000000000
2018-07-01,99.9833333333333
2018-10-01,99.0366666666667
2019-01-01,97.5133333333333
2019-04-01,97.5333333333333
2019-07-01,98.1633333333333
2019-10-01,98.4166666666667
2020-01-01,98.6300000000000
2020-04-01,98.4700000000000
2020-07-01,104.0633333333330
2020-10-01,103.9566666666670
2021-01-01,103.8633333333330
2021-04-01,104.0800000000000
2021-07-01,104.5266666666670
2021-10-01,105.0600000000000
2022-01-01,105.5366666666670
2022-04-01,106.4566666666670
2022-07-01,107.5700000000000
2022-10-01,108.2966666666670
2023-01-01,108.7200000000000
2023-04-01,109.3700000000000
2023-07-01,109.7033333333330
