Quarter,GDP,GDP Non-Oil,GDP Oil,REER,CPI,OPEC,Exports,log_GDP,log_Non_oil_GDP,log_Oil_GDP,log_REER,log_CPI,log_OPEC,log_Exports,dlog_GDP,dlog_Non_oil_GDP,dlog_Oil_GDP,dlog_REER,dlog_CPI,dlog_OPEC,dlog_Exports
2010Q2,638209.3290870615,273623.4894607839,278404.64367288566,88.13698517628205,82.07586597971755,100.75309182766723,242658.3694110577,13.366421610530569,12.519508314337688,12.536830887162797,4.478892253885363,4.407644014409881,4.612672888471725,12.399409845938754,-0.015570367624219372,0.010591177726190892,-0.008638739699680542,0.037299241589954235,0.015577999626863459,-0.0180068771681432,0.03923834223654055
2010Q3,632283.5552773576,268249.783939141,274238.79132981715,87.3491673344017,83.25599131467749,96.45806641734454,248071.76115785257,13.3570932359232,12.499673855046733,12.52175450703724,4.469913504014902,4.421920094014873,4.569108369004962,12.421473342798201,-0.009328374607369128,-0.019834459290954953,-0.015076380125556454,-0.008978749870460767,0.014276079604992553,-0.04356451946676376,0.022063496859447085
2010Q4,703164.8856567035,260063.26694278227,324926.39128850936,84.8504173344017,84.62720110535057,110.17776455811666,257814.6275040064,13.46334668903336,12.46868021479197,12.691353947316468,4.440889910164329,4.438255741001722,4.702095102839986,12.45999610761384,0.10625345311015977,-0.030993640254763477,0.16959944027922802,-0.029023593850572738,0.01633564698684875,0.13298673383502457,0.038522764815638766
2011Q1,760945.9744822945,293294.08299226075,366466.84487971227,85.27009682158119,86.4672788302544,128.5199630468471,254690.84192708333,13.54231764152778,12.588931080852264,12.811663332041302,4.445823828223951,4.4597660629531015,4.856084246719194,12.447805704008122,0.0789709524944211,0.12025086606029411,0.12030938472483399,0.0049339180596215115,0.021510321951379474,0.15398914387920737,-0.012190403605718103
2011Q2,799515.5618135432,297099.5402622477,395689.69343829335,83.28698517628204,87.36203563971755,139.3180890036499,262463.2694110577,13.591761275498916,12.601822514031959,12.888385580631203,4.42229229658523,4.470060813461807,4.936759728806325,12.477866425170138,0.04944363397113527,0.012891433179694545,0.07672224858990084,-0.023531531638720793,0.010294750508705874,0.08067548208713138,0.03006072116201608
2011Q3,795860.9873202,292793.92574016703,405842.06428512005,83.05583400106838,87.6508638346775,134.83908646554303,277519.6611578526,13.58717981053037,12.587224315431177,12.913719358678257,4.419513080444227,4.473361466819847,4.904082115391434,12.5336470606781,-0.00458146496854539,-0.014598198600781487,0.025333778047054167,-0.0027792161410031824,0.0033006533580399733,-0.03267761341489095,0.05578063550796131
2011Q4,818149.0686863322,289259.2217445547,421648.20316722867,85.57375066773504,88.55723542535057,135.12900622223157,287012.32750400645,13.614799834539864,12.57507852611921,12.951926603561782,4.449378585042779,4.483649070945535,4.906229923788005,12.567280446794937,0.027620024009493704,-0.012145789311967192,0.03820724488352489,0.029865504598552306,0.010287604125688077,0.002147808396570916,0.03363338611683808
2012Q1,880534.3389957777,320212.99045379605,461163.89648061094,85.74343015491453,88.6726791602544,145.35030495456485,282166.94192708336,13.688284205585285,12.676741648533799,13.04150878261428,4.451359466841655,4.4849518278926475,4.9791467250733055,12.550254167410959,0.07348437104542072,0.10166312241458897,0.08958217905249732,0.001980881798876233,0.001302756947112016,0.07291680128530054,-0.017026279383978604
2012Q2,841017.1596423805,320192.6699263763,418000.6469850124,87.26365184294872,89.62955992971754,128.93070920716153,291636.8694110577,13.642367342602316,12.676678187110255,12.94323825931673,4.468934016956704,4.495685175502453,4.859275122122436,12.583264709433516,-0.04591686298296871,-6.346142354374251e-05,-0.0982705232975487,0.017574550115048382,0.010733347609805932,-0.11987160295086952,0.03301054202255749
2012Q3,835547.067474211,313883.62305436743,393987.64472477447,87.58916733440171,90.16688393467749,128.72325467456812,272142.7611578526,13.635841959930213,12.656777568975759,12.884074829221818,4.472657329729557,4.50166221924226,4.857664787281872,12.51408206478676,-0.0065253826721036745,-0.019900618134496284,-0.05916343009491243,0.0037233127728537596,0.005977043739807009,-0.0016103348405636098,-0.06918264464675694
2012Q4,827817.3982620479,311311.1220096927,395170.0701532235,87.0304173344017,91.60130912535057,129.9109906796208,272382.22750400635,13.626547875546366,12.64854808341658,12.887071508569973,4.466257682083522,4.517445563339427,4.866849528870496,12.514961607017428,-0.009294084383846268,-0.008229485559178684,0.0029966793481541742,-0.006399647646035511,0.01578334409716664,0.009184741588623702,0.0008795422306686618
2013Q1,833322.649093059,340951.3614264795,384486.5450690152,88.45676348824786,92.69527883025441,129.61146393010807,267995.94192708336,13.633176179999799,12.739495110979336,12.859664073997,4.4825138844799595,4.529317541719887,4.864541236256985,12.49872711731523,0.006628304453432321,0.09094702756275552,-0.027407434572973344,0.016256202396437658,0.01187197838046039,-0.002308292613511398,-0.016234489702197763
2013Q2,828879.87174524,341316.75050664967,369816.28011597943,89.41365184294871,92.96106746971755,117.51310725016756,279734.7694110577,13.627830516193018,12.740566212233263,12.820761621076404,4.493273375699617,4.532180776145648,4.766549878428112,12.541597181121228,-0.005345663806780365,0.0010711012539275089,-0.038902452920595465,0.010759491219657136,0.002863234425760197,-0.0979913578288727,0.04287006380599756
2013Q3,833269.5317262415,336807.0469496332,377955.40067180136,89.23916733440171,93.13092748467749,125.02014533633782,286262.8611578526,13.633112436310796,12.72726548437855,12.842531479999899,4.491320038888817,4.534006325516269,4.828474887007692,12.564665762650364,0.0052819201177776165,-0.01330072785471259,0.021769858923494922,-0.0019533368108000104,0.0018255493706211823,0.061925008579580165,0.023068581529136267
2013Q4,826124.8201434067,336088.68833311036,376858.3057826652,88.67041733440169,94.00272621535056,125.62371060919382,286331.5275040064,13.624501155061617,12.725130357488132,12.839624549051733,4.484926319982866,4.543323784140409,4.833291014953255,12.56490560554035,-0.00861128124917876,-0.002135126890419059,-0.0029069309481659644,-0.0063937189059508626,0.009317458624139796,0.0048161279455625206,0.00023984288998590841
2014Q1,870963.126123856,366800.1310699912,386913.485320151,89.73676348824787,94.5186121602544,121.62292164536102,282812.74192708335,13.67735491983384,12.812572376698055,12.8659563948761,4.496880534466752,4.548796769183555,4.800925452141138,12.552540268308798,0.052853764772223144,0.08744201920992367,0.02633184582436776,0.011954214483886005,0.00547298504314675,-0.032365562812116444,-0.012365337231551976
